PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1910578220,-23.86624908447266,13.76588630676270,109.07572174072266,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1910586553,-23.86968421936035,13.34812641143799,108.85585784912109,-1.82293629646301,-4.44226360321045,10.28313350677490,6.13407564163208,-36.02593231201172,-43.83995819091797
2,1910594886,-23.82131576538086,12.88843536376953,108.59750366210938,-1.63673985004425,-4.16917753219604,10.43337535858154,13.20002365112305,-38.80900955200195,-50.01482009887695
3,1910603219,-23.55048942565918,11.48706150054932,108.26403045654297,-1.56582212448120,-3.85148072242737,11.06725597381592,23.16560935974121,-41.70431900024414,-55.02421569824219
4,1910611552,-23.30781173706055,10.91507911682129,107.94861602783203,-1.15645503997803,-3.60736823081970,11.72848129272461,36.83531188964844,-48.77645492553711,-61.46121978759766
5,1910619885,-22.27988815307617,9.21070098876953,107.70913696289062,-0.73805701732635,-3.19983196258545,12.41274642944336,54.85762786865234,-58.01570129394531,-68.94140625000000
6,1910628218,-20.53936767578125,7.27918291091919,107.47948455810547,-0.18180552124977,-2.84106040000916,13.16930007934570,76.11686706542969,-71.32230377197266,-78.37252044677734
7,1910636551,-19.75949287414551,6.34772157669067,107.01546478271484,0.14739899337292,-2.30341386795044,13.83516025543213,100.55265045166016,-86.44783020019531,-90.50965118408203
8,1910644884,-17.26580047607422,4.07502603530884,106.62500762939453,0.21403335034847,-1.70009589195251,14.14436531066895,124.26573181152344,-100.83758544921875,-100.19839477539062
9,1910653217,-16.09499549865723,2.93980789184570,106.05503845214844,0.26939439773560,-1.01127171516418,14.16856670379639,145.03884887695312,-111.45761108398438,-104.59926605224609
10,1910661550,-14.80563354492188,1.75755774974823,105.48048400878906,0.46827128529549,-0.26131075620651,14.22297573089600,157.90956115722656,-118.95311737060547,-104.29728698730469
11,1910669883,-11.77377223968506,-0.41815391182899,104.89466094970703,1.12872886657715,-0.19057783484459,14.20410537719727,166.87043762207031,-126.18082427978516,-104.66848754882812
12,1910678216,-8.81781959533691,-1.97537541389465,103.67343139648438,4.52381849288940,-3.86209344863892,9.91929244995117,160.49890136718750,-72.55110168457031,-158.47016906738281
13,1910686549,-7.33169746398926,-2.49451994895935,101.94083404541016,2.92617583274841,-0.87485843896866,13.12085151672363,170.57080078125000,-33.04637527465820,-214.55163574218750
14,1910694882,-5.07967948913574,-4.10128402709961,100.20935058593750,0.32537138462067,2.78882408142090,14.83516979217529,148.26997375488281,-59.54576873779297,-208.50854492187500
15,1910703215,-3.76197910308838,-4.95244312286377,98.80657958984375,0.17733728885651,2.91105175018311,15.21371746063232,145.18510437011719,-89.44758605957031,-175.28599548339844
16,1910711548,-1.22440886497498,-6.25783061981201,97.49788665771484,0.73236775398254,2.11342692375183,14.52182769775391,151.67396545410156,-97.31192779541016,-147.51382446289062
17,1910719881,0.18765008449554,-7.09699583053589,96.42799377441406,0.42348161339760,1.82813203334808,14.01665210723877,154.86308288574219,-100.09171295166016,-128.52677917480469
18,1910728214,1.62676072120667,-7.97571277618408,95.46456909179688,0.28427994251251,1.85589206218719,13.87364387512207,157.88615417480469,-107.80280303955078,-113.03173828125000
19,1910736547,4.17389774322510,-8.97939586639404,94.42670440673828,0.43268263339996,1.75939500331879,13.65398883819580,166.65782165527344,-108.82408905029297,-100.39222717285156
20,1910744880,6.61539220809937,-9.73932552337646,93.46945953369141,0.27138492465019,1.62410974502563,13.44384765625000,179.41658020019531,-106.53234863281250,-88.75624084472656
21,1910753213,8.32649612426758,-10.56488990783691,92.72183227539062,-0.01142237335443,1.90889048576355,13.11439037322998,189.85998535156250,-110.26337432861328,-74.78472137451172
22,1910761546,10.69876956939697,-11.21125888824463,91.95985412597656,-0.02543076127768,2.12899112701416,12.87602901458740,198.55795288085938,-113.90667724609375,-59.31828308105469
23,1910769879,12.53633594512939,-12.10438728332520,91.40188598632812,-0.11242722719908,2.22534847259521,12.70610809326172,207.31718444824219,-118.74267578125000,-42.74902343750000
24,1910778212,14.44394111633301,-13.05195999145508,90.89733886718750,0.05786028131843,2.11507105827332,12.80618858337402,216.07759094238281,-124.91364288330078,-31.03475761413574
25,1910786545,16.83724212646484,-13.69625568389893,90.28044891357422,0.70607578754425,1.77964019775391,12.46568393707275,222.64677429199219,-128.27523803710938,-28.06145286560059
26,1910794878,19.09136390686035,-14.21341419219971,89.59646606445312,1.03808140754700,1.25306236743927,11.38412475585938,223.83142089843750,-124.12359619140625,-37.37937164306641
27,1910803211,21.17894554138184,-15.02405452728271,88.87831115722656,0.55406802892685,1.16214942932129,10.70535850524902,229.09719848632812,-120.60227966308594,-44.90776443481445
28,1910811544,23.45298767089844,-15.52790451049805,88.05661010742188,-0.37759822607040,0.53892922401428,10.28418540954590,240.11393737792969,-132.96456909179688,-47.10538864135742
29,1910819877,25.76926422119141,-16.28750610351562,87.14266204833984,-0.19573843479156,-0.07443159818649,8.36547946929932,248.22741699218750,-127.36961364746094,-58.03717041015625
30,1910828210,28.08831024169922,-16.79670906066895,86.17874145507812,-0.60392379760742,0.15924118459225,6.64198255538940,245.69406127929688,-105.25698852539062,-71.29043579101562
31,1910836543,30.14117813110352,-16.72190475463867,85.37863922119141,-0.84390956163406,1.28848409652710,5.66434478759766,230.87304687500000,-79.76243591308594,-65.94897460937500
32,1910844876,31.93398284912109,-16.50185585021973,84.75229644775391,-0.30132618546486,1.04204428195953,5.18861389160156,212.76800537109375,-57.45651626586914,-57.08565521240234
33,1910853209,33.68877792358398,-16.51459884643555,84.14479827880859,0.45399349927902,0.52445447444916,4.81351995468140,190.20524597167969,-39.73829650878906,-58.01699447631836
34,1910861542,35.00667190551758,-16.02161979675293,83.64356231689453,0.77480256557465,-0.00918030738831,4.57046508789062,164.38188171386719,-22.15658378601074,-63.88238525390625
35,1910869875,36.37188720703125,-15.77841663360596,83.08541107177734,0.32968121767044,-0.49864324927330,4.99566459655762,145.81866455078125,-14.46341419219971,-69.44866943359375
36,1910878208,37.64297866821289,-15.46938991546631,82.54904937744141,-0.06784003973007,-0.60111069679260,5.63688373565674,135.53639221191406,-8.26506519317627,-71.92155456542969
37,1910886541,38.56496047973633,-14.82289218902588,82.14438629150391,-0.15904170274734,-0.37927064299583,5.61321735382080,126.96148681640625,-0.58076226711273,-70.00858306884766
38,1910894874,39.35011291503906,-14.15339565277100,81.82173919677734,-0.03764908015728,-0.07657463848591,4.99135303497314,119.34641265869141,7.92949104309082,-67.05469512939453
39,1910903207,40.33026123046875,-13.74010944366455,81.52765655517578,-0.15289431810379,0.57439249753952,4.21038389205933,109.46488952636719,15.54198455810547,-58.17425155639648
40,1910911540,40.81972503662109,-13.14013099670410,81.41015625000000,0.06069649383426,0.90839588642120,3.25625419616699,91.75087738037109,17.63733482360840,-45.44053268432617
41,1910919873,41.36463165283203,-12.81145954132080,81.21227264404297,0.71786260604858,0.56987309455872,2.17843270301819,60.41218948364258,13.91171360015869,-43.46409606933594
42,1910928206,41.66443634033203,-12.47305011749268,80.93430328369141,1.18403625488281,-0.08279468864202,2.01129698753357,29.01552200317383,8.24874305725098,-51.39014816284180
