PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1158053175,49.32496643066406,-79.19405364990234,127.69093322753906,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1158069842,49.08048629760742,-79.14551544189453,127.87476348876953,9.55930805206299,1.32621872425079,1.26906251907349,-3.52204132080078,2.88372778892517,-0.92848598957062
2,1158086509,48.87026214599609,-79.09649658203125,128.06184387207031,9.59452342987061,1.35442554950714,1.30430173873901,-1.26237308979034,2.94578695297241,-0.91178649663925
3,1158103176,48.54001617431641,-79.01531219482422,128.36671447753906,9.73261070251465,1.38647413253784,1.32893157005310,-1.53079438209534,5.23838043212891,-1.45119011402130
4,1158119843,48.35633468627930,-78.95885467529297,128.57072448730469,9.65628433227539,1.39553987979889,1.31953561306000,1.33053493499756,3.41508865356445,-1.07008600234985
5,1158136510,48.11260223388672,-78.89624023437500,128.81733703613281,9.79857158660889,1.42037630081177,1.14911139011383,0.21519148349762,4.03054904937744,-0.98966187238693
6,1158153177,47.97266006469727,-78.85770416259766,128.92227172851562,9.66265583038330,1.35467457771301,1.22135758399963,-1.89035820960999,1.86443185806274,-0.99329894781113
7,1158169844,47.91368103027344,-78.84082794189453,128.93928527832031,9.69106769561768,1.38802313804626,1.31208455562592,-2.21460223197937,0.23473399877548,-0.70265883207321
8,1158186511,47.81796264648438,-78.81558227539062,129.00592041015625,9.67201232910156,1.49312591552734,1.27581274509430,-1.49964892864227,0.99922156333923,-0.68631780147552
9,1158203178,47.74305725097656,-78.78803253173828,129.03417968750000,9.66344833374023,1.41408729553223,1.31461262702942,-2.50219440460205,0.76742690801620,-1.08820688724518
10,1158219845,47.64014053344727,-78.75256347656250,129.07920837402344,9.66283130645752,1.34649300575256,1.30947887897491,-3.19654202461243,1.23256647586823,-1.30464708805084
11,1158236512,47.55770874023438,-78.72250366210938,129.10371398925781,9.69007110595703,1.33874714374542,1.32264721393585,-3.17497563362122,0.83829718828201,-1.22479915618896
12,1158253179,47.44533538818359,-78.68830108642578,129.16966247558594,9.70915889739990,1.30663561820984,1.28310513496399,-2.54198360443115,1.36430537700653,-1.07306969165802
13,1158269846,47.32308578491211,-78.65505981445312,129.27661132812500,9.70326232910156,1.28487575054169,1.28940546512604,-0.72195792198181,1.68135190010071,-0.69679343700409
14,1158286513,47.27364730834961,-78.63159179687500,129.33226013183594,9.69490909576416,1.32346534729004,1.31911039352417,0.63774979114532,0.84790199995041,-0.67848044633865
15,1158303180,47.30297470092773,-78.62388610839844,129.31520080566406,9.73003101348877,1.33024597167969,1.41034972667694,1.08119523525238,-0.42981955409050,-0.56287741661072
16,1158319847,47.31050491333008,-78.61322784423828,129.31233215332031,9.76037120819092,1.33168697357178,1.36558616161346,0.61398118734360,-0.18462914228439,-0.58323955535889
17,1158336514,47.28913116455078,-78.60193634033203,129.33982849121094,9.74867343902588,1.30575907230377,1.35837590694427,0.65841925144196,0.10161197930574,-0.36459675431252
